# NAME RA DEC DISTANCE K_APP A_V K_ABS SIGMA
   NGC5322  207.3130   60.1904   34.206    7.16    0.038  -25.515  232.300
   NGC5329  208.0420    2.3251  111.200    9.67    0.078  -25.560  256.770
   NGC5353  208.3610   40.2831   41.120    7.62    0.035  -25.448  286.370
   NGC5482  212.1280    8.9319  109.291    9.72    0.074  -25.472  282.310
   NGC5557  214.6070   36.4936   51.048    8.08    0.016  -25.461  252.990
    IC1143  232.7340   82.4558   97.309    9.49    0.172  -25.448 -999.000
  UGC10097  238.9300   47.8673   91.479    9.38    0.049  -25.427  302.040
   NGC6223  250.7680   61.5789   86.693    9.10    0.100  -25.591 -999.000
   NGC6375  262.3410   16.2068   95.800    9.38    0.334  -25.528  219.790
  UGC10918  264.3890   11.1217  100.200    9.26    0.498  -25.747 -999.000
   NGC6482  267.9530   23.0719   61.414    8.34    0.277  -25.599  309.770
   NGC6575  272.7400   31.1162  106.000    9.54    0.172  -25.584  306.200
   NGC7052  319.6380   26.4469   69.300    8.54    0.337  -25.665  284.420
  UGC11950  333.1320   38.6828   85.212    9.20    0.340  -25.452 -999.000
   NGC7242  333.9150   37.2987   84.440    8.29    0.415  -26.344 -999.000
   NGC7274  336.0460   36.1258   82.824    9.21    0.295  -25.385  285.760
   NGC7265  335.6150   36.2098   82.824    8.66    0.325  -25.935  257.630
   NGC7386  342.5090   11.6987   99.061    9.40    0.200  -25.583 -999.000
   NGC7426  344.0120   36.3614   80.008    8.78    0.337  -25.736 -999.000
  NGC7436B  344.4900   26.1500  106.590    8.98    0.250  -26.158  352.000
   NGC7550  348.8170   18.9614   72.656    8.87    0.375  -25.433  255.460
   NGC7619  350.0610    8.2063   54.000    8.01    0.224  -25.653  322.350
   NGC7626  350.1772    8.2170   54.000    8.01    0.197  -25.650  271.300
   NGC7681  352.2290   17.3096   96.800    9.21    0.149  -25.723  358.920
